v362_id;region;tipo_empresa;cadena_productiva;agrupacion_tecnocreativa;genero;asociatividad;vinculos_educativos;tamano_empresa_num_trab;rango_ventas;exportaciones;exportaciones_porc_ingreso;internacionalizacion;mercados_intern;color_genero;color_tipo_empresa;color_cadena_productiva;color_agrupacion_tecnocreativa;color_asociatividad;color_vinculos_educativos;color_tamano_empresa_num_trab;color_rango_ventas;color_exportaciones;color_exportaciones_porc_ingreso;color_internacionalizacion
150;Valparaíso;Empresa;;;Hombre;;;;;;NA%;;;#62cca5;#74746c;;;;;;;;;
151;Valparaíso;Empresa;;;Mujer;;;;;;NA%;;;#705abb;#74746c;;;;;;;;;
152;Valparaíso;Empresa;;;Mujer;;;;;;NA%;;;#705abb;#74746c;;;;;;;;;
157;Valparaíso;Empresa;;;Mujer;;;;;;NA%;;;#705abb;#74746c;;;;;;;;;
2;RM;Profesional indep.;Servicios creativos;Computación o programación creativa;Hombre;;;1-5;;;NA%;;;#62cca5;#544c7c;#737daa;#a5a29a;;;#705abb;;;;
3;RM;Empresa;Servicios creativos;Computación o programación creativa;Hombre;No;No;1-5;Menos de 10.000 USD;Sí;21-40%;Sí, en uno;Mexico;#62cca5;#74746c;#737daa;#a5a29a;#737daa;#737daa;#705abb;#070708;#62cca5;#705abb;#737daa
5;RM;Profesional indep.;Contenidos creativos;Computación o programación creativa;Hombre;No;No;1-5;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#62cca5;#544c7c;#705abb;#a5a29a;#737daa;#737daa;#705abb;#070708;#737daa;#070708;#9a7cbb
7;RM;Empresa;Servicios creativos;Computación o programación creativa;Mujer;No;No;1-5;Entre 10.000 y 50.000 USD;Sí;81-100%;Sí, pero aún no se han concretado operaciones internacionales;;#705abb;#74746c;#737daa;#a5a29a;#737daa;#737daa;#705abb;#705abb;#62cca5;#cbd2d3;#705abb
13;RM;Empresa;Servicios creativos;Computación o programación creativa;Hombre;No;No;0;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#62cca5;#74746c;#737daa;#a5a29a;#737daa;#737daa;#070708;#070708;#737daa;#070708;#9a7cbb
14;RM;Empresa;Servicios creativos;Computación o programación creativa;Hombre;No;Sí;1-5;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#62cca5;#74746c;#737daa;#a5a29a;#737daa;#62cca5;#705abb;#070708;#737daa;#070708;#9a7cbb
15;RM;Profesional indep.;Contenidos creativos;Computación o programación creativa;Hombre;No;Sí;1-5;Menos de 10.000 USD;Sí;0-20%;No y no está en los planes actuales;;#62cca5;#544c7c;#705abb;#a5a29a;#737daa;#62cca5;#705abb;#070708;#62cca5;#070708;#9a7cbb
16;RM;Empresa;Contenidos creativos;Computación o programación creativa;Hombre;No;Sí;6-10;Más de 100.000 USD;Sí;0-20%;Sí, en más de uno;;#62cca5;#74746c;#705abb;#a5a29a;#737daa;#62cca5;#9a7cbb;#737daa;#62cca5;#070708;#cbd2d3
17;RM;Empresa;Bienes creativos;Computación o programación creativa;Hombre;No;Sí;6-10;Menos de 10.000 USD;Sí;21-40%;Sí, pero aún no se han concretado operaciones internacionales;;#62cca5;#74746c;#070708;#a5a29a;#737daa;#62cca5;#9a7cbb;#070708;#62cca5;#705abb;#705abb
18;RM;Empresa;Servicios creativos;Computación o programación creativa;Hombre;Sí;Sí;11-50;Más de 100.000 USD;Sí;0-20%;Sí, en uno;USA;#62cca5;#74746c;#737daa;#a5a29a;#62cca5;#62cca5;#737daa;#737daa;#62cca5;#070708;#737daa
19;RM;Empresa;Servicios creativos;Computación o programación creativa;Hombre;Sí;Sí;1-5;Más de 100.000 USD;Sí;41-60%;Sí, en más de uno;USA, UE;#62cca5;#74746c;#737daa;#a5a29a;#62cca5;#62cca5;#705abb;#737daa;#62cca5;#9a7cbb;#cbd2d3
22;RM;Profesional indep.;Servicios creativos;Contenido para redes sociales;Mujer;;;1-5;;;NA%;;;#705abb;#544c7c;#737daa;#070708;;;#705abb;;;;
23;RM;Empresa;Experiencias creativas;Contenido para redes sociales;Mujer;;;Más de 50;;;NA%;;;#705abb;#74746c;#9a7cbb;#070708;;;#cbd2d3;;;;
24;RM;Profesional indep.;Bienes creativos;Contenido para redes sociales;Hombre;No;No;1-5;Menos de 10.000 USD;No;0-20%;Sí, en uno;;#62cca5;#544c7c;#070708;#070708;#737daa;#737daa;#705abb;#070708;#737daa;#070708;#737daa
25;RM;Empresa;Contenidos creativos;Contenido para redes sociales;Hombre;No;Sí;1-5;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#62cca5;#74746c;#705abb;#070708;#737daa;#62cca5;#705abb;#070708;#737daa;#070708;#9a7cbb
26;RM;Empresa;Contenidos creativos;Contenido para redes sociales;Hombre;No;No;1-5;Menos de 10.000 USD;Sí;0-20%;No, pero está en las prioridades actuales;;#62cca5;#74746c;#705abb;#070708;#737daa;#737daa;#705abb;#070708;#62cca5;#070708;#070708
28;RM;Empresa;Contenidos creativos;Contenido para redes sociales;Hombre;Sí;Sí;11-50;Más de 100.000 USD;Sí;0-20%;Sí, en uno;;#62cca5;#74746c;#705abb;#070708;#62cca5;#62cca5;#737daa;#737daa;#62cca5;#070708;#737daa
29;RM;Empresa;Servicios creativos;Contenido para redes sociales;Mujer;Sí;No;1-5;Menos de 10.000 USD;No;0-20%;Sí, pero aún no se han concretado operaciones internacionales;;#705abb;#74746c;#737daa;#070708;#62cca5;#737daa;#705abb;#070708;#737daa;#070708;#705abb
33;RM;Empresa;Servicios creativos;Cultura y entretenimiento;Mujer;;;1-5;Entre 10.000 y 50.000 USD;No;0-20%;No, pero está en las prioridades actuales;;#705abb;#74746c;#737daa;#62cca5;;;#705abb;#705abb;#737daa;#070708;#070708
34;RM;Empresa;Contenidos creativos;Cultura y entretenimiento;Hombre;;;;;;NA%;;;#62cca5;#74746c;#705abb;#62cca5;;;;;;;
35;RM;Empresa;Contenidos creativos;Cultura y entretenimiento;Hombre;;;1-5;;;NA%;;;#62cca5;#74746c;#705abb;#62cca5;;;#705abb;;;;
36;RM;Empresa;Contenidos creativos;Cultura y entretenimiento;Hombre;No;No;1-5;Entre 10.000 y 50.000 USD;Sí;0-20%;Sí, en más de uno;Colombia, Argentina, Perú y México;#62cca5;#74746c;#705abb;#62cca5;#737daa;#737daa;#705abb;#705abb;#62cca5;#070708;#cbd2d3
38;RM;Empresa;Contenidos creativos;Cultura y entretenimiento;Mujer;Sí;Sí;6-10;Entre 50.000 y 100.000 USD;Sí;0-20%;Sí, en más de uno;USA, Brasil, México;#705abb;#74746c;#705abb;#62cca5;#62cca5;#62cca5;#9a7cbb;#9a7cbb;#62cca5;#070708;#cbd2d3
42;RM;Empresa;Bienes creativos;Cultura y entretenimiento;Hombre;No;Sí;11-50;Más de 100.000 USD;Sí;0-20%;Sí, en más de uno;Canada y EEUU;#62cca5;#74746c;#070708;#62cca5;#737daa;#62cca5;#737daa;#737daa;#62cca5;#070708;#cbd2d3
45;RM;Profesional indep.;Contenidos creativos;Cultura y entretenimiento;Mujer;No;No;1-5;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#705abb;#544c7c;#705abb;#62cca5;#737daa;#737daa;#705abb;#070708;#737daa;#070708;#9a7cbb
46;RM;Empresa;Bienes creativos;Cultura y entretenimiento;Hombre;No;Sí;1-5;Entre 10.000 y 50.000 USD;Sí;41-60%;No, pero está en las prioridades actuales;Ventana Sur, Mitcom , Mitcom Jr.;#62cca5;#74746c;#070708;#62cca5;#737daa;#62cca5;#705abb;#705abb;#62cca5;#9a7cbb;#070708
47;RM;Empresa;Experiencias creativas;Cultura y entretenimiento;Hombre;No;Sí;11-50;Entre 10.000 y 50.000 USD;No;0-20%;No y no está en los planes actuales;;#62cca5;#74746c;#9a7cbb;#62cca5;#737daa;#62cca5;#737daa;#705abb;#737daa;#070708;#9a7cbb
48;RM;Empresa;Experiencias creativas;Cultura y entretenimiento;Hombre;No;No;6-10;Entre 10.000 y 50.000 USD;Sí;0-20%;Sí, en uno;Colombia, España;#62cca5;#74746c;#9a7cbb;#62cca5;#737daa;#737daa;#9a7cbb;#705abb;#62cca5;#070708;#737daa
49;RM;Empresa;Contenidos creativos;Cultura y entretenimiento;Hombre;No;Sí;1-5;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#62cca5;#74746c;#705abb;#62cca5;#737daa;#62cca5;#705abb;#070708;#737daa;#070708;#9a7cbb
50;RM;Empresa;Contenidos creativos;Cultura y entretenimiento;Hombre;No;No;1-5;Menos de 10.000 USD;No;0-20%;No, pero está en las prioridades actuales;;#62cca5;#74746c;#705abb;#62cca5;#737daa;#737daa;#705abb;#070708;#737daa;#070708;#070708
55;RM;Empresa;Servicios creativos;Editorial (medios digitales);Hombre;No;No;1-5;Menos de 10.000 USD;Sí;81-100%;No y no está en los planes actuales;;#62cca5;#74746c;#737daa;#737daa;#737daa;#737daa;#705abb;#070708;#62cca5;#cbd2d3;#9a7cbb
56;RM;Profesional indep.;Bienes creativos;Editorial (medios digitales);Hombre;No;No;1-5;Menos de 10.000 USD;No;0-20%;No, pero está en las prioridades actuales;;#62cca5;#544c7c;#070708;#737daa;#737daa;#737daa;#705abb;#070708;#737daa;#070708;#070708
58;RM;Empresa;Contenidos creativos;Fintech;Hombre;Sí;Sí;6-10;Más de 100.000 USD;Sí;61-80%;Sí, en más de uno;Mexico, Colombia, Peru;#62cca5;#74746c;#705abb;#544c7c;#62cca5;#62cca5;#9a7cbb;#737daa;#62cca5;#737daa;#cbd2d3
60;RM;Empresa;Contenidos creativos;Juegos interactivos;Hombre;;;1-5;;;NA%;;;#62cca5;#74746c;#705abb;#b7b7af;;;#705abb;;;;
62;RM;Empresa;Contenidos creativos;Juegos interactivos;Mujer;No;No;1-5;Menos de 10.000 USD;No;0-20%;No, pero está en las prioridades actuales;;#705abb;#74746c;#705abb;#b7b7af;#737daa;#737daa;#705abb;#070708;#737daa;#070708;#070708
63;RM;Empresa;Contenidos creativos;Juegos interactivos;Hombre;No;Sí;1-5;Más de 100.000 USD;Sí;0-20%;Sí, en más de uno;Mexico, Colombia;#62cca5;#74746c;#705abb;#b7b7af;#737daa;#62cca5;#705abb;#737daa;#62cca5;#070708;#cbd2d3
64;RM;Empresa;Contenidos creativos;Juegos interactivos;Hombre;Sí;No;6-10;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#62cca5;#74746c;#705abb;#b7b7af;#62cca5;#737daa;#9a7cbb;#070708;#737daa;#070708;#9a7cbb
65;RM;Profesional indep.;Experiencias creativas;Juegos interactivos;Hombre;No;Sí;1-5;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#62cca5;#544c7c;#9a7cbb;#b7b7af;#737daa;#62cca5;#705abb;#070708;#737daa;#070708;#9a7cbb
76;RM;Empresa;Bienes creativos;Ninguna de las anteriores;Mujer;;;;;;NA%;;;#705abb;#74746c;#070708;#e4e2d4;;;;;;;
78;RM;Empresa;Servicios creativos;Ninguna de las anteriores;Hombre;Sí;Sí;Más de 50;Más de 100.000 USD;No;0-20%;No y no está en los planes actuales;;#62cca5;#74746c;#737daa;#e4e2d4;#62cca5;#62cca5;#cbd2d3;#737daa;#737daa;#070708;#9a7cbb
80;RM;Profesional indep.;Contenidos creativos;Ninguna de las anteriores;Hombre;No;No;1-5;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#62cca5;#544c7c;#705abb;#e4e2d4;#737daa;#737daa;#705abb;#070708;#737daa;#070708;#9a7cbb
83;RM;Profesional indep.;Bienes creativos;Ninguna de las anteriores;Hombre;No;Sí;1-5;Menos de 10.000 USD;Sí;0-20%;No y no está en los planes actuales;;#62cca5;#544c7c;#070708;#e4e2d4;#737daa;#62cca5;#705abb;#070708;#62cca5;#070708;#9a7cbb
85;RM;Empresa;Bienes creativos;Nuevos medios;Mujer;;;1-5;Menos de 10.000 USD;No;0-20%;No, pero está en las prioridades actuales;;#705abb;#74746c;#070708;#9a7cbb;;;#705abb;#070708;#737daa;#070708;#070708
86;RM;Empresa;Servicios creativos;Nuevos medios;Hombre;Sí;Sí;1-5;Menos de 10.000 USD;Sí;21-40%;Sí, en uno;Nueva York;#62cca5;#74746c;#737daa;#9a7cbb;#62cca5;#62cca5;#705abb;#070708;#62cca5;#705abb;#737daa
87;RM;Profesional indep.;Experiencias creativas;Nuevos medios;Mujer;No;Sí;0;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#705abb;#544c7c;#9a7cbb;#9a7cbb;#737daa;#62cca5;#070708;#070708;#737daa;#070708;#9a7cbb
88;RM;Empresa;Contenidos creativos;Nuevos medios;Hombre;No;Sí;1-5;Entre 10.000 y 50.000 USD;No;0-20%;No, pero está en las prioridades actuales;;#62cca5;#74746c;#705abb;#9a7cbb;#737daa;#62cca5;#705abb;#705abb;#737daa;#070708;#070708
89;RM;Empresa;Experiencias creativas;Nuevos medios;Hombre;No;No;1-5;Más de 100.000 USD;Sí;0-20%;No, pero está en las prioridades actuales;;#62cca5;#74746c;#9a7cbb;#9a7cbb;#737daa;#737daa;#705abb;#737daa;#62cca5;#070708;#070708
90;RM;Profesional indep.;Experiencias creativas;Nuevos medios;Hombre;Sí;No;1-5;Menos de 10.000 USD;Sí;0-20%;No, pero está en las prioridades actuales;;#62cca5;#544c7c;#9a7cbb;#9a7cbb;#62cca5;#737daa;#705abb;#070708;#62cca5;#070708;#070708
93;RM;Profesional indep.;Experiencias creativas;Nuevos medios;Hombre;No;No;1-5;Menos de 10.000 USD;Sí;41-60%;Sí, en uno;USA;#62cca5;#544c7c;#9a7cbb;#9a7cbb;#737daa;#737daa;#705abb;#070708;#62cca5;#9a7cbb;#737daa
94;RM;Profesional indep.;Servicios creativos;Nuevos medios;Hombre;No;Sí;1-5;Menos de 10.000 USD;No;0-20%;No y no está en los planes actuales;;#62cca5;#544c7c;#737daa;#9a7cbb;#737daa;#62cca5;#705abb;#070708;#737daa;#070708;#9a7cbb
96;RM;Empresa;Experiencias creativas;Nuevos medios;Hombre;No;No;11-50;Más de 100.000 USD;Sí;0-20%;Sí, en más de uno;Latinoamérica y Europa;#62cca5;#74746c;#9a7cbb;#9a7cbb;#737daa;#737daa;#737daa;#737daa;#62cca5;#070708;#cbd2d3
98;RM;Profesional indep.;Experiencias creativas;Nuevos medios;Mujer;Sí;Sí;1-5;Entre 10.000 y 50.000 USD;Sí;0-20%;Sí, en uno;Mexico, Canadá;#705abb;#544c7c;#9a7cbb;#9a7cbb;#62cca5;#62cca5;#705abb;#705abb;#62cca5;#070708;#737daa
99;RM;Empresa;Bienes creativos;Nuevos medios;Mujer;No;Sí;1-5;Entre 50.000 y 100.000 USD;No;21-40%;No, pero está en las prioridades actuales;;#705abb;#74746c;#070708;#9a7cbb;#737daa;#62cca5;#705abb;#9a7cbb;#737daa;#705abb;#070708
100;RM;Empresa;Experiencias creativas;Nuevos medios;Hombre;No;No;1-5;Entre 50.000 y 100.000 USD;Sí;0-20%;No, pero está en las prioridades actuales;;#62cca5;#74746c;#9a7cbb;#9a7cbb;#737daa;#737daa;#705abb;#9a7cbb;#62cca5;#070708;#070708
101;RM;Empresa;Servicios creativos;Nuevos medios;Hombre;Sí;Sí;1-5;Más de 100.000 USD;Sí;0-20%;Sí, en más de uno;bolivia, perú, colombia, ecuador, costa rica;#62cca5;#74746c;#737daa;#9a7cbb;#62cca5;#62cca5;#705abb;#737daa;#62cca5;#070708;#cbd2d3
102;RM;Empresa;Experiencias creativas;Nuevos medios;Mujer;Sí;Sí;1-5;Menos de 10.000 USD;Sí;61-80%;Sí, en más de uno;Participamos de los más importantes mercados para el XR narrativo: Venice Production Bridge, VR Days, New Images XR Market, Electric South, Cinemart XR, VR Days Brasil, VR Fest Mexico, etc.;#705abb;#74746c;#9a7cbb;#9a7cbb;#62cca5;#62cca5;#705abb;#070708;#62cca5;#737daa;#cbd2d3
104;RM;Profesional indep.;Bienes creativos;Robótica;Mujer;;;;;;NA%;;;#705abb;#544c7c;#070708;#96a5c3;;;;;;;
105;RM;Empresa;Experiencias creativas;Robótica;Hombre;No;No;6-10;Menos de 10.000 USD;No;0-20%;No, pero está en las prioridades actuales;;#62cca5;#74746c;#9a7cbb;#96a5c3;#737daa;#737daa;#9a7cbb;#070708;#737daa;#070708;#070708
106;RM;Empresa;Bienes creativos;Robótica;Hombre;No;Sí;1-5;Menos de 10.000 USD;Sí;61-80%;No, pero está en las prioridades actuales;;#62cca5;#74746c;#070708;#96a5c3;#737daa;#62cca5;#705abb;#070708;#62cca5;#737daa;#070708
107;RM;Empresa;Servicios creativos;Servicios creativos;Hombre;No;No;1-5;Más de 100.000 USD;No;0-20%;No y no está en los planes actuales;;#62cca5;#74746c;#737daa;#cbd2d3;#737daa;#737daa;#705abb;#737daa;#737daa;#070708;#9a7cbb
109;RM;Empresa;Servicios creativos;Servicios creativos;Hombre;No;Sí;6-10;Entre 50.000 y 100.000 USD;No;0-20%;Sí, en uno;Colombia;#62cca5;#74746c;#737daa;#cbd2d3;#737daa;#62cca5;#9a7cbb;#9a7cbb;#737daa;#070708;#737daa
110;RM;Empresa;Experiencias creativas;Servicios creativos;Mujer;No;Sí;1-5;Menos de 10.000 USD;Sí;41-60%;Sí, en más de uno;Latam;#705abb;#74746c;#9a7cbb;#cbd2d3;#737daa;#62cca5;#705abb;#070708;#62cca5;#9a7cbb;#cbd2d3
112;RM;Empresa;Servicios creativos;Servicios creativos;Mujer;Sí;Sí;1-5;Entre 50.000 y 100.000 USD;No;0-20%;Sí, en uno;perú;#705abb;#74746c;#737daa;#cbd2d3;#62cca5;#62cca5;#705abb;#9a7cbb;#737daa;#070708;#737daa
119;RM;Empresa;Servicios creativos;Servicios creativos;Mujer;Sí;Sí;11-50;Entre 10.000 y 50.000 USD;Sí;21-40%;Sí, en más de uno;España, Republica Checa, Estados Unidos y Mexico;#705abb;#74746c;#737daa;#cbd2d3;#62cca5;#62cca5;#737daa;#705abb;#62cca5;#705abb;#cbd2d3
122;RM;Empresa;Contenidos creativos;Servicios creativos;Hombre;No;Sí;1-5;Entre 10.000 y 50.000 USD;No;0-20%;No y no está en los planes actuales;;#62cca5;#74746c;#705abb;#cbd2d3;#737daa;#62cca5;#705abb;#705abb;#737daa;#070708;#9a7cbb
124;RM;Profesional indep.;Experiencias creativas;Servicios creativos;Hombre;Sí;No;1-5;Menos de 10.000 USD;Sí;41-60%;No, pero está en las prioridades actuales;;#62cca5;#544c7c;#9a7cbb;#cbd2d3;#62cca5;#737daa;#705abb;#070708;#62cca5;#9a7cbb;#070708
