v362_id;region;cadena_productiva;tipo_empresa;interaccion;color_interaccion
129;Valparaíso;Bienes creativos;Profesional indep.;Educación;#705abb
129;Valparaíso;Bienes creativos;Profesional indep.;Innovación;#9a7cbb
129;Valparaíso;Bienes creativos;Profesional indep.;Inversión social;#96a5c3
129;Valparaíso;Bienes creativos;Profesional indep.;Retail;#544c7c
131;Valparaíso;Servicios creativos;Empresa;Ciencia y tecnología;#62cca5
131;Valparaíso;Servicios creativos;Empresa;Educación;#705abb
131;Valparaíso;Servicios creativos;Empresa;Innovación;#9a7cbb
135;Valparaíso;Servicios creativos;Empresa;Comunicaciones;#737daa
135;Valparaíso;Servicios creativos;Empresa;Educación;#705abb
135;Valparaíso;Servicios creativos;Empresa;Energía renovable;#546c74
135;Valparaíso;Servicios creativos;Empresa;Inversión social;#96a5c3
135;Valparaíso;Servicios creativos;Empresa;Turismo;#e4e2d4
3;RM;Servicios creativos;Empresa;Comunicaciones;#737daa
3;RM;Servicios creativos;Empresa;Retail;#544c7c
7;RM;Servicios creativos;Empresa;Ciencia y tecnología;#62cca5
7;RM;Servicios creativos;Empresa;Comunicaciones;#737daa
7;RM;Servicios creativos;Empresa;Inversión social;#96a5c3
7;RM;Servicios creativos;Empresa;Medioambiente y desastres naturales;#070708
7;RM;Servicios creativos;Empresa;Turismo;#e4e2d4
13;RM;Servicios creativos;Empresa;Ciencia y tecnología;#62cca5
13;RM;Servicios creativos;Empresa;Educación;#705abb
14;RM;Servicios creativos;Empresa;Salud;#b7b7af
15;RM;Contenidos creativos;Profesional indep.;Educación;#705abb
15;RM;Contenidos creativos;Profesional indep.;Otros;#a5a29a
16;RM;Contenidos creativos;Empresa;Ciencia y tecnología;#62cca5
16;RM;Contenidos creativos;Empresa;Construcción y desarrollo urbano;#96a5c3
16;RM;Contenidos creativos;Empresa;Educación;#705abb
16;RM;Contenidos creativos;Empresa;Otros;#a5a29a
16;RM;Contenidos creativos;Empresa;Energía renovable;#546c74
16;RM;Contenidos creativos;Empresa;Innovación;#9a7cbb
16;RM;Contenidos creativos;Empresa;Minería;#74746c
16;RM;Contenidos creativos;Empresa;Retail;#544c7c
16;RM;Contenidos creativos;Empresa;Salud;#b7b7af
17;RM;Bienes creativos;Empresa;Ciencia y tecnología;#62cca5
17;RM;Bienes creativos;Empresa;Comunicaciones;#737daa
17;RM;Bienes creativos;Empresa;Educación;#705abb
17;RM;Bienes creativos;Empresa;Otros;#a5a29a
17;RM;Bienes creativos;Empresa;Innovación;#9a7cbb
18;RM;Servicios creativos;Empresa;Ciencia y tecnología;#62cca5
18;RM;Servicios creativos;Empresa;Innovación;#9a7cbb
18;RM;Servicios creativos;Empresa;Minería;#74746c
19;RM;Servicios creativos;Empresa;Ciencia y tecnología;#62cca5
19;RM;Servicios creativos;Empresa;Comunicaciones;#737daa
19;RM;Servicios creativos;Empresa;Educación;#705abb
19;RM;Servicios creativos;Empresa;Innovación;#9a7cbb
19;RM;Servicios creativos;Empresa;Minería;#74746c
19;RM;Servicios creativos;Empresa;Retail;#544c7c
19;RM;Servicios creativos;Empresa;Salud;#b7b7af
19;RM;Servicios creativos;Empresa;Turismo;#e4e2d4
24;RM;Bienes creativos;Profesional indep.;Educación;#705abb
25;RM;Contenidos creativos;Empresa;Agro-Tech;#e4e2d4
25;RM;Contenidos creativos;Empresa;Construcción y desarrollo urbano;#96a5c3
25;RM;Contenidos creativos;Empresa;Educación;#705abb
25;RM;Contenidos creativos;Empresa;Otros;#a5a29a
25;RM;Contenidos creativos;Empresa;Minería;#74746c
25;RM;Contenidos creativos;Empresa;Retail;#544c7c
25;RM;Contenidos creativos;Empresa;Turismo;#e4e2d4
26;RM;Contenidos creativos;Empresa;Ciencia y tecnología;#62cca5
26;RM;Contenidos creativos;Empresa;Comunicaciones;#737daa
26;RM;Contenidos creativos;Empresa;Inversión social;#96a5c3
26;RM;Contenidos creativos;Empresa;Turismo;#e4e2d4
28;RM;Contenidos creativos;Empresa;Comunicaciones;#737daa
28;RM;Contenidos creativos;Empresa;Retail;#544c7c
28;RM;Contenidos creativos;Empresa;Salud;#b7b7af
36;RM;Contenidos creativos;Empresa;Comunicaciones;#737daa
38;RM;Contenidos creativos;Empresa;Comunicaciones;#737daa
38;RM;Contenidos creativos;Empresa;Educación;#705abb
42;RM;Bienes creativos;Empresa;Ciencia y tecnología;#62cca5
42;RM;Bienes creativos;Empresa;Comunicaciones;#737daa
42;RM;Bienes creativos;Empresa;Construcción y desarrollo urbano;#96a5c3
42;RM;Bienes creativos;Empresa;Educación;#705abb
42;RM;Bienes creativos;Empresa;Innovación;#9a7cbb
42;RM;Bienes creativos;Empresa;Inversión social;#96a5c3
42;RM;Bienes creativos;Empresa;Otros;#a5a29a
42;RM;Bienes creativos;Empresa;Turismo;#e4e2d4
46;RM;Bienes creativos;Empresa;Ciencia y tecnología;#62cca5
46;RM;Bienes creativos;Empresa;Comunicaciones;#737daa
46;RM;Bienes creativos;Empresa;Educación;#705abb
46;RM;Bienes creativos;Empresa;Innovación;#9a7cbb
46;RM;Bienes creativos;Empresa;Medioambiente y desastres naturales;#070708
46;RM;Bienes creativos;Empresa;Salud;#b7b7af
46;RM;Bienes creativos;Empresa;Otros;#a5a29a
47;RM;Experiencias creativas;Empresa;Ciencia y tecnología;#62cca5
47;RM;Experiencias creativas;Empresa;Comunicaciones;#737daa
47;RM;Experiencias creativas;Empresa;Educación;#705abb
48;RM;Experiencias creativas;Empresa;Ciencia y tecnología;#62cca5
48;RM;Experiencias creativas;Empresa;Comunicaciones;#737daa
48;RM;Experiencias creativas;Empresa;Educación;#705abb
48;RM;Experiencias creativas;Empresa;Innovación;#9a7cbb
48;RM;Experiencias creativas;Empresa;Salud;#b7b7af
48;RM;Experiencias creativas;Empresa;Turismo;#e4e2d4
49;RM;Contenidos creativos;Empresa;Ciencia y tecnología;#62cca5
49;RM;Contenidos creativos;Empresa;Educación;#705abb
49;RM;Contenidos creativos;Empresa;Turismo;#e4e2d4
55;RM;Servicios creativos;Empresa;Comunicaciones;#737daa
56;RM;Bienes creativos;Profesional indep.;Comunicaciones;#737daa
56;RM;Bienes creativos;Profesional indep.;Educación;#705abb
56;RM;Bienes creativos;Profesional indep.;Innovación;#9a7cbb
56;RM;Bienes creativos;Profesional indep.;Retail;#544c7c
58;RM;Contenidos creativos;Empresa;Agro-Tech;#e4e2d4
58;RM;Contenidos creativos;Empresa;Educación;#705abb
58;RM;Contenidos creativos;Empresa;Otros;#a5a29a
58;RM;Contenidos creativos;Empresa;Inversión social;#96a5c3
63;RM;Contenidos creativos;Empresa;Educación;#705abb
63;RM;Contenidos creativos;Empresa;Innovación;#9a7cbb
65;RM;Experiencias creativas;Profesional indep.;Salud;#b7b7af
78;RM;Servicios creativos;Empresa;Comunicaciones;#737daa
78;RM;Servicios creativos;Empresa;Educación;#705abb
80;RM;Contenidos creativos;Profesional indep.;Construcción y desarrollo urbano;#96a5c3
80;RM;Contenidos creativos;Profesional indep.;Retail;#544c7c
80;RM;Contenidos creativos;Profesional indep.;Otros;#a5a29a
83;RM;Bienes creativos;Profesional indep.;Ciencia y tecnología;#62cca5
83;RM;Bienes creativos;Profesional indep.;Educación;#705abb
83;RM;Bienes creativos;Profesional indep.;Salud;#b7b7af
86;RM;Servicios creativos;Empresa;Energía renovable;#546c74
87;RM;Experiencias creativas;Profesional indep.;Ciencia y tecnología;#62cca5
87;RM;Experiencias creativas;Profesional indep.;Comunicaciones;#737daa
87;RM;Experiencias creativas;Profesional indep.;Educación;#705abb
88;RM;Contenidos creativos;Empresa;Ciencia y tecnología;#62cca5
88;RM;Contenidos creativos;Empresa;Comunicaciones;#737daa
88;RM;Contenidos creativos;Empresa;Educación;#705abb
88;RM;Contenidos creativos;Empresa;Innovación;#9a7cbb
88;RM;Contenidos creativos;Empresa;Inversión social;#96a5c3
88;RM;Contenidos creativos;Empresa;Medioambiente y desastres naturales;#070708
88;RM;Contenidos creativos;Empresa;Turismo;#e4e2d4
89;RM;Experiencias creativas;Empresa;Ciencia y tecnología;#62cca5
89;RM;Experiencias creativas;Empresa;Educación;#705abb
90;RM;Experiencias creativas;Profesional indep.;Comunicaciones;#737daa
90;RM;Experiencias creativas;Profesional indep.;Educación;#705abb
93;RM;Experiencias creativas;Profesional indep.;Ciencia y tecnología;#62cca5
93;RM;Experiencias creativas;Profesional indep.;Educación;#705abb
93;RM;Experiencias creativas;Profesional indep.;Innovación;#9a7cbb
94;RM;Servicios creativos;Profesional indep.;Ciencia y tecnología;#62cca5
94;RM;Servicios creativos;Profesional indep.;Comunicaciones;#737daa
94;RM;Servicios creativos;Profesional indep.;Educación;#705abb
94;RM;Servicios creativos;Profesional indep.;Innovación;#9a7cbb
96;RM;Experiencias creativas;Empresa;Agro-Tech;#e4e2d4
96;RM;Experiencias creativas;Empresa;Ciencia y tecnología;#62cca5
96;RM;Experiencias creativas;Empresa;Comunicaciones;#737daa
96;RM;Experiencias creativas;Empresa;Educación;#705abb
96;RM;Experiencias creativas;Empresa;Otros;#a5a29a
96;RM;Experiencias creativas;Empresa;Energía renovable;#546c74
96;RM;Experiencias creativas;Empresa;Minería;#74746c
96;RM;Experiencias creativas;Empresa;Otros;#a5a29a
98;RM;Experiencias creativas;Profesional indep.;Ciencia y tecnología;#62cca5
98;RM;Experiencias creativas;Profesional indep.;Comunicaciones;#737daa
98;RM;Experiencias creativas;Profesional indep.;Educación;#705abb
98;RM;Experiencias creativas;Profesional indep.;Medioambiente y desastres naturales;#070708
99;RM;Bienes creativos;Empresa;Ciencia y tecnología;#62cca5
99;RM;Bienes creativos;Empresa;Comunicaciones;#737daa
99;RM;Bienes creativos;Empresa;Innovación;#9a7cbb
99;RM;Bienes creativos;Empresa;Minería;#74746c
99;RM;Bienes creativos;Empresa;Retail;#544c7c
99;RM;Bienes creativos;Empresa;Turismo;#e4e2d4
100;RM;Experiencias creativas;Empresa;Comunicaciones;#737daa
100;RM;Experiencias creativas;Empresa;Medioambiente y desastres naturales;#070708
101;RM;Servicios creativos;Empresa;Ciencia y tecnología;#62cca5
101;RM;Servicios creativos;Empresa;Comunicaciones;#737daa
101;RM;Servicios creativos;Empresa;Construcción y desarrollo urbano;#96a5c3
101;RM;Servicios creativos;Empresa;Educación;#705abb
101;RM;Servicios creativos;Empresa;Energía renovable;#546c74
101;RM;Servicios creativos;Empresa;Innovación;#9a7cbb
101;RM;Servicios creativos;Empresa;Inversión social;#96a5c3
101;RM;Servicios creativos;Empresa;Retail;#544c7c
101;RM;Servicios creativos;Empresa;Turismo;#e4e2d4
102;RM;Experiencias creativas;Empresa;Ciencia y tecnología;#62cca5
102;RM;Experiencias creativas;Empresa;Comunicaciones;#737daa
102;RM;Experiencias creativas;Empresa;Educación;#705abb
102;RM;Experiencias creativas;Empresa;Innovación;#9a7cbb
102;RM;Experiencias creativas;Empresa;Medioambiente y desastres naturales;#070708
105;RM;Experiencias creativas;Empresa;Educación;#705abb
105;RM;Experiencias creativas;Empresa;Innovación;#9a7cbb
105;RM;Experiencias creativas;Empresa;Salud;#b7b7af
106;RM;Bienes creativos;Empresa;Ciencia y tecnología;#62cca5
106;RM;Bienes creativos;Empresa;Educación;#705abb
106;RM;Bienes creativos;Empresa;Energía renovable;#546c74
106;RM;Bienes creativos;Empresa;Innovación;#9a7cbb
106;RM;Bienes creativos;Empresa;Medioambiente y desastres naturales;#070708
106;RM;Bienes creativos;Empresa;Minería;#74746c
106;RM;Bienes creativos;Empresa;Salud;#b7b7af
109;RM;Servicios creativos;Empresa;Comunicaciones;#737daa
109;RM;Servicios creativos;Empresa;Educación;#705abb
109;RM;Servicios creativos;Empresa;Energía renovable;#546c74
109;RM;Servicios creativos;Empresa;Innovación;#9a7cbb
110;RM;Experiencias creativas;Empresa;Ciencia y tecnología;#62cca5
110;RM;Experiencias creativas;Empresa;Comunicaciones;#737daa
110;RM;Experiencias creativas;Empresa;Educación;#705abb
110;RM;Experiencias creativas;Empresa;Innovación;#9a7cbb
110;RM;Experiencias creativas;Empresa;Retail;#544c7c
112;RM;Servicios creativos;Empresa;Comunicaciones;#737daa
112;RM;Servicios creativos;Empresa;Educación;#705abb
112;RM;Servicios creativos;Empresa;Energía renovable;#546c74
112;RM;Servicios creativos;Empresa;Otros;#a5a29a
112;RM;Servicios creativos;Empresa;Innovación;#9a7cbb
112;RM;Servicios creativos;Empresa;Inversión social;#96a5c3
112;RM;Servicios creativos;Empresa;Retail;#544c7c
119;RM;Servicios creativos;Empresa;Agro-Tech;#e4e2d4
119;RM;Servicios creativos;Empresa;Comunicaciones;#737daa
119;RM;Servicios creativos;Empresa;Educación;#705abb
119;RM;Servicios creativos;Empresa;Innovación;#9a7cbb
119;RM;Servicios creativos;Empresa;Medioambiente y desastres naturales;#070708
119;RM;Servicios creativos;Empresa;Retail;#544c7c
119;RM;Servicios creativos;Empresa;Salud;#b7b7af
119;RM;Servicios creativos;Empresa;Turismo;#e4e2d4
122;RM;Contenidos creativos;Empresa;Comunicaciones;#737daa
122;RM;Contenidos creativos;Empresa;Educación;#705abb
122;RM;Contenidos creativos;Empresa;Otros;#a5a29a
124;RM;Experiencias creativas;Profesional indep.;Ciencia y tecnología;#62cca5
124;RM;Experiencias creativas;Profesional indep.;Comunicaciones;#737daa
124;RM;Experiencias creativas;Profesional indep.;Educación;#705abb
124;RM;Experiencias creativas;Profesional indep.;Energía renovable;#546c74
124;RM;Experiencias creativas;Profesional indep.;Innovación;#9a7cbb
124;RM;Experiencias creativas;Profesional indep.;Inversión social;#96a5c3
124;RM;Experiencias creativas;Profesional indep.;Medioambiente y desastres naturales;#070708
124;RM;Experiencias creativas;Profesional indep.;Turismo;#e4e2d4
125;RM;Servicios creativos;Empresa;Ciencia y tecnología;#62cca5
125;RM;Servicios creativos;Empresa;Comunicaciones;#737daa
125;RM;Servicios creativos;Empresa;Educación;#705abb
125;RM;Servicios creativos;Empresa;Energía renovable;#546c74
125;RM;Servicios creativos;Empresa;Inversión social;#96a5c3
125;RM;Servicios creativos;Empresa;Minería;#74746c
125;RM;Servicios creativos;Empresa;Retail;#544c7c
125;RM;Servicios creativos;Empresa;Salud;#b7b7af
127;RM;Experiencias creativas;Empresa;Ciencia y tecnología;#62cca5
127;RM;Experiencias creativas;Empresa;Educación;#705abb
127;RM;Experiencias creativas;Empresa;Inversión social;#96a5c3
128;RM;Contenidos creativos;Empresa;Comunicaciones;#737daa
128;RM;Contenidos creativos;Empresa;Educación;#705abb
128;RM;Contenidos creativos;Empresa;Inversión social;#96a5c3
128;RM;Contenidos creativos;Empresa;Minería;#74746c
128;RM;Contenidos creativos;Empresa;Otros;#a5a29a
128;RM;Contenidos creativos;Empresa;Turismo;#e4e2d4
130;RM;Contenidos creativos;Profesional indep.;Ciencia y tecnología;#62cca5
130;RM;Contenidos creativos;Profesional indep.;Comunicaciones;#737daa
130;RM;Contenidos creativos;Profesional indep.;Educación;#705abb
130;RM;Contenidos creativos;Profesional indep.;Turismo;#e4e2d4
132;RM;Bienes creativos;Empresa;Ciencia y tecnología;#62cca5
132;RM;Bienes creativos;Empresa;Educación;#705abb
132;RM;Bienes creativos;Empresa;Innovación;#9a7cbb
132;RM;Bienes creativos;Empresa;Retail;#544c7c
133;RM;Servicios creativos;Empresa;Ciencia y tecnología;#62cca5
133;RM;Servicios creativos;Empresa;Comunicaciones;#737daa
133;RM;Servicios creativos;Empresa;Construcción y desarrollo urbano;#96a5c3
133;RM;Servicios creativos;Empresa;Otros;#a5a29a
133;RM;Servicios creativos;Empresa;Energía renovable;#546c74
133;RM;Servicios creativos;Empresa;Innovación;#9a7cbb
133;RM;Servicios creativos;Empresa;Minería;#74746c
133;RM;Servicios creativos;Empresa;Retail;#544c7c
133;RM;Servicios creativos;Empresa;Salud;#b7b7af
133;RM;Servicios creativos;Empresa;Otros;#a5a29a
136;RM;Contenidos creativos;Empresa;Comunicaciones;#737daa
136;RM;Contenidos creativos;Empresa;Educación;#705abb
136;RM;Contenidos creativos;Empresa;Innovación;#9a7cbb
136;RM;Contenidos creativos;Empresa;Medioambiente y desastres naturales;#070708
136;RM;Contenidos creativos;Empresa;Retail;#544c7c
139;RM;Contenidos creativos;Profesional indep.;Ciencia y tecnología;#62cca5
139;RM;Contenidos creativos;Profesional indep.;Comunicaciones;#737daa
139;RM;Contenidos creativos;Profesional indep.;Construcción y desarrollo urbano;#96a5c3
139;RM;Contenidos creativos;Profesional indep.;Educación;#705abb
139;RM;Contenidos creativos;Profesional indep.;Inversión social;#96a5c3
139;RM;Contenidos creativos;Profesional indep.;Salud;#b7b7af
67;O'Higgins;Bienes creativos;Empresa;Innovación;#9a7cbb
67;O'Higgins;Bienes creativos;Empresa;Salud;#b7b7af
43;Maule;Contenidos creativos;Empresa;Otros;#a5a29a
70;Maule;Experiencias creativas;Empresa;Comunicaciones;#737daa
70;Maule;Experiencias creativas;Empresa;Educación;#705abb
70;Maule;Experiencias creativas;Empresa;Innovación;#9a7cbb
70;Maule;Experiencias creativas;Empresa;Turismo;#e4e2d4
6;Bío-Bío;Contenidos creativos;Empresa;Agro-Tech;#e4e2d4
6;Bío-Bío;Contenidos creativos;Empresa;Educación;#705abb
6;Bío-Bío;Contenidos creativos;Empresa;Minería;#74746c
6;Bío-Bío;Contenidos creativos;Empresa;Salud;#b7b7af
6;Bío-Bío;Contenidos creativos;Empresa;Otros;#a5a29a
41;Bío-Bío;Experiencias creativas;Profesional indep.;Ciencia y tecnología;#62cca5
41;Bío-Bío;Experiencias creativas;Profesional indep.;Comunicaciones;#737daa
41;Bío-Bío;Experiencias creativas;Profesional indep.;Educación;#705abb
