v362_id;region;cadena_productiva;tipo_empresa;interaccion;color_interaccion
81;La Araucanía;Bienes creativos;Profesional indep.;Retail;#544c7c
116;La Araucanía;Servicios creativos;Profesional indep.;Comunicaciones;#737daa
116;La Araucanía;Servicios creativos;Profesional indep.;Educación;#705abb
116;La Araucanía;Servicios creativos;Profesional indep.;Innovación;#9a7cbb
121;La Araucanía;Experiencias creativas;Profesional indep.;Ciencia y tecnología;#62cca5
121;La Araucanía;Experiencias creativas;Profesional indep.;Comunicaciones;#737daa
39;Los Ríos;Experiencias creativas;Empresa;Retail;#544c7c
39;Los Ríos;Experiencias creativas;Empresa;Otros;#a5a29a
75;Los Ríos;Bienes creativos;Empresa;Construcción y desarrollo urbano;#96a5c3
75;Los Ríos;Bienes creativos;Empresa;Energía renovable;#546c74
75;Los Ríos;Bienes creativos;Empresa;Innovación;#9a7cbb
75;Los Ríos;Bienes creativos;Empresa;Turismo;#e4e2d4
82;Los Ríos;Bienes creativos;Empresa;Construcción y desarrollo urbano;#96a5c3
82;Los Ríos;Bienes creativos;Empresa;Educación;#705abb
82;Los Ríos;Bienes creativos;Empresa;Innovación;#9a7cbb
82;Los Ríos;Bienes creativos;Empresa;Medioambiente y desastres naturales;#070708
82;Los Ríos;Bienes creativos;Empresa;Turismo;#e4e2d4
134;Los Lagos;Experiencias creativas;Empresa;Ciencia y tecnología;#62cca5
134;Los Lagos;Experiencias creativas;Empresa;Innovación;#9a7cbb
4;Aysén;Bienes creativos;Empresa;Ciencia y tecnología;#62cca5
4;Aysén;Bienes creativos;Empresa;Construcción y desarrollo urbano;#96a5c3
4;Aysén;Bienes creativos;Empresa;Educación;#705abb
4;Aysén;Bienes creativos;Empresa;Retail;#544c7c
4;Aysén;Bienes creativos;Empresa;Turismo;#e4e2d4
51;Aysén;Bienes creativos;Empresa;Agro-Tech;#e4e2d4
51;Aysén;Bienes creativos;Empresa;Construcción y desarrollo urbano;#96a5c3
51;Aysén;Bienes creativos;Empresa;Educación;#705abb
51;Aysén;Bienes creativos;Empresa;Retail;#544c7c
51;Aysén;Bienes creativos;Empresa;Turismo;#e4e2d4
95;Aysén;Servicios creativos;Empresa;Ciencia y tecnología;#62cca5
95;Aysén;Servicios creativos;Empresa;Construcción y desarrollo urbano;#96a5c3
95;Aysén;Servicios creativos;Empresa;Educación;#705abb
95;Aysén;Servicios creativos;Empresa;Innovación;#9a7cbb
95;Aysén;Servicios creativos;Empresa;Otros;#a5a29a
123;Aysén;Bienes creativos;Empresa;Ciencia y tecnología;#62cca5
123;Aysén;Bienes creativos;Empresa;Construcción y desarrollo urbano;#96a5c3
123;Aysén;Bienes creativos;Empresa;Innovación;#9a7cbb
123;Aysén;Bienes creativos;Empresa;Retail;#544c7c
123;Aysén;Bienes creativos;Empresa;Turismo;#e4e2d4
123;Aysén;Bienes creativos;Empresa;Otros;#a5a29a
10;Magallanes;Contenidos creativos;Empresa;Salud;#b7b7af
10;Magallanes;Contenidos creativos;Empresa;Otros;#a5a29a
59;Magallanes;Servicios creativos;Empresa;Energía renovable;#546c74
59;Magallanes;Servicios creativos;Empresa;Innovación;#9a7cbb
59;Magallanes;Servicios creativos;Empresa;Inversión social;#96a5c3
79;Magallanes;Bienes creativos;Empresa;Medioambiente y desastres naturales;#070708
91;Magallanes;Bienes creativos;Empresa;Ciencia y tecnología;#62cca5
91;Magallanes;Bienes creativos;Empresa;Comunicaciones;#737daa
91;Magallanes;Bienes creativos;Empresa;Educación;#705abb
91;Magallanes;Bienes creativos;Empresa;Energía renovable;#546c74
91;Magallanes;Bienes creativos;Empresa;Inversión social;#96a5c3
91;Magallanes;Bienes creativos;Empresa;Medioambiente y desastres naturales;#070708
91;Magallanes;Bienes creativos;Empresa;Turismo;#e4e2d4
9;Extranjero;Servicios creativos;Profesional indep.;Ciencia y tecnología;#62cca5
9;Extranjero;Servicios creativos;Profesional indep.;Comunicaciones;#737daa
9;Extranjero;Servicios creativos;Profesional indep.;Educación;#705abb
31;Extranjero;Experiencias creativas;Profesional indep.;Ciencia y tecnología;#62cca5
31;Extranjero;Experiencias creativas;Profesional indep.;Comunicaciones;#737daa
31;Extranjero;Experiencias creativas;Profesional indep.;Construcción y desarrollo urbano;#96a5c3
31;Extranjero;Experiencias creativas;Profesional indep.;Innovación;#9a7cbb
31;Extranjero;Experiencias creativas;Profesional indep.;Salud;#b7b7af
57;Extranjero;Contenidos creativos;Profesional indep.;Ciencia y tecnología;#62cca5
57;Extranjero;Contenidos creativos;Profesional indep.;Comunicaciones;#737daa
57;Extranjero;Contenidos creativos;Profesional indep.;Educación;#705abb
57;Extranjero;Contenidos creativos;Profesional indep.;Innovación;#9a7cbb
57;Extranjero;Contenidos creativos;Profesional indep.;Medioambiente y desastres naturales;#070708
