v362_id;region;cadena_productiva;tipo_empresa;tecnologias;nivel_adopcion;color_tecnologias
71;Valparaíso;Servicios creativos;Empresa;sonido_inmersivo;INNOVADOR;#070708
74;Valparaíso;Contenidos creativos;Empresa;creacion_de_entornos_virtuales;INNOVADOR;#62cca5
74;Valparaíso;Contenidos creativos;Empresa;realidad_aumentada_ar;INNOVADOR;#e4e2d4
74;Valparaíso;Contenidos creativos;Empresa;realidad_virtual_vr;INNOVADOR;#544c7c
84;Valparaíso;Contenidos creativos;Empresa;creacion_de_entornos_virtuales;INNOVADOR;#62cca5
84;Valparaíso;Contenidos creativos;Empresa;inteligencia_artificial_ia;EARLY ADOPTER;#9a7cbb
84;Valparaíso;Contenidos creativos;Empresa;realidad_aumentada_ar;EARLY ADOPTER;#e4e2d4
84;Valparaíso;Contenidos creativos;Empresa;realidad_virtual_vr;INNOVADOR;#544c7c
84;Valparaíso;Contenidos creativos;Empresa;software_de_3d;INNOVADOR;#b7b7af
84;Valparaíso;Contenidos creativos;Empresa;vfx_visual_effects;INNOVADOR;#546c74
92;Valparaíso;Servicios creativos;Empresa;creacion_de_entornos_virtuales;INNOVADOR;#62cca5
92;Valparaíso;Servicios creativos;Empresa;impresion_3d;EARLY ADOPTER;#705abb
92;Valparaíso;Servicios creativos;Empresa;inteligencia_artificial_ia;LENTO ADOPTANTE;#9a7cbb
92;Valparaíso;Servicios creativos;Empresa;mocap_motion_capture;EARLY ADOPTER;#737daa
92;Valparaíso;Servicios creativos;Empresa;realidad_aumentada_ar;LENTO ADOPTANTE;#e4e2d4
92;Valparaíso;Servicios creativos;Empresa;realidad_virtual_vr;EARLY ADOPTER;#544c7c
92;Valparaíso;Servicios creativos;Empresa;Otros;LENTO ADOPTANTE;#a5a29a
92;Valparaíso;Servicios creativos;Empresa;software_de_3d;EARLY ADOPTER;#b7b7af
92;Valparaíso;Servicios creativos;Empresa;software_especializado;EARLY ADOPTER;#96a5c3
103;Valparaíso;Contenidos creativos;Profesional indep.;creacion_de_entornos_virtuales;INNOVADOR;#62cca5
103;Valparaíso;Contenidos creativos;Profesional indep.;inteligencia_artificial_ia;EARLY ADOPTER;#9a7cbb
103;Valparaíso;Contenidos creativos;Profesional indep.;realidad_virtual_vr;INNOVADOR;#544c7c
