v362_id;region;cadena_productiva;tipo_empresa;herramientas_diferenciacion;color_herramientas_diferenciacion
55;RM;Servicios creativos;Empresa;Gestión de precios de contenidos creativos;#62cca5
55;RM;Servicios creativos;Empresa;Otros;#e4e2d4
56;RM;Bienes creativos;Profesional indep.;Registro de propiedad intelectual;#544c7c
58;RM;Contenidos creativos;Empresa;Gestión de precios de contenidos creativos;#62cca5
60;RM;Contenidos creativos;Empresa;Ninguna de las anteriores;#737daa
62;RM;Contenidos creativos;Empresa;Registro de propiedad intelectual;#544c7c
63;RM;Contenidos creativos;Empresa;Ninguna de las anteriores;#737daa
64;RM;Contenidos creativos;Empresa;Ninguna de las anteriores;#737daa
65;RM;Experiencias creativas;Profesional indep.;Otros;#e4e2d4
78;RM;Servicios creativos;Empresa;Otros;#e4e2d4
80;RM;Contenidos creativos;Profesional indep.;Ninguna de las anteriores;#737daa
83;RM;Bienes creativos;Profesional indep.;Ninguna de las anteriores;#737daa
85;RM;Bienes creativos;Empresa;Registro de propiedad intelectual;#544c7c
86;RM;Servicios creativos;Empresa;Registro de propiedad intelectual;#544c7c
87;RM;Experiencias creativas;Profesional indep.;Ninguna de las anteriores;#737daa
88;RM;Contenidos creativos;Empresa;Registro de propiedad intelectual;#544c7c
88;RM;Contenidos creativos;Empresa;Licenciamiento;#9a7cbb
89;RM;Experiencias creativas;Empresa;Ninguna de las anteriores;#737daa
90;RM;Experiencias creativas;Profesional indep.;Ninguna de las anteriores;#737daa
93;RM;Experiencias creativas;Profesional indep.;Ninguna de las anteriores;#737daa
94;RM;Servicios creativos;Profesional indep.;Ninguna de las anteriores;#737daa
96;RM;Experiencias creativas;Empresa;Registro de propiedad intelectual;#544c7c
98;RM;Experiencias creativas;Profesional indep.;Registro de propiedad intelectual;#544c7c
99;RM;Bienes creativos;Empresa;Ninguna de las anteriores;#737daa
100;RM;Experiencias creativas;Empresa;Ninguna de las anteriores;#737daa
101;RM;Servicios creativos;Empresa;Gestión de precios de contenidos creativos;#62cca5
102;RM;Experiencias creativas;Empresa;Registro de propiedad intelectual;#544c7c
102;RM;Experiencias creativas;Empresa;Licenciamiento;#9a7cbb
102;RM;Experiencias creativas;Empresa;Gestión de precios de contenidos creativos;#62cca5
105;RM;Experiencias creativas;Empresa;Registro de propiedad intelectual;#544c7c
106;RM;Bienes creativos;Empresa;Registro de propiedad intelectual;#544c7c
106;RM;Bienes creativos;Empresa;Otros;#e4e2d4
107;RM;Servicios creativos;Empresa;Ninguna de las anteriores;#737daa
109;RM;Servicios creativos;Empresa;Ninguna de las anteriores;#737daa
110;RM;Experiencias creativas;Empresa;Gestión de precios de contenidos creativos;#62cca5
112;RM;Servicios creativos;Empresa;Gestión de precios de contenidos creativos;#62cca5
119;RM;Servicios creativos;Empresa;Registro de propiedad intelectual;#544c7c
119;RM;Servicios creativos;Empresa;Gestión de precios de contenidos creativos;#62cca5
122;RM;Contenidos creativos;Empresa;Ninguna de las anteriores;#737daa
124;RM;Experiencias creativas;Profesional indep.;Otros;#e4e2d4
125;RM;Servicios creativos;Empresa;Gestión de precios de contenidos creativos;#62cca5
127;RM;Experiencias creativas;Empresa;Ninguna de las anteriores;#737daa
128;RM;Contenidos creativos;Empresa;Ninguna de las anteriores;#737daa
130;RM;Contenidos creativos;Profesional indep.;Ninguna de las anteriores;#737daa
132;RM;Bienes creativos;Empresa;Ninguna de las anteriores;#737daa
133;RM;Servicios creativos;Empresa;Registro de propiedad intelectual;#544c7c
133;RM;Servicios creativos;Empresa;Otros;#e4e2d4
136;RM;Contenidos creativos;Empresa;Ninguna de las anteriores;#737daa
139;RM;Contenidos creativos;Profesional indep.;Registro de propiedad intelectual;#544c7c
139;RM;Contenidos creativos;Profesional indep.;Licenciamiento;#9a7cbb
67;O'Higgins;Bienes creativos;Empresa;Ninguna de las anteriores;#737daa
77;O'Higgins;Servicios creativos;Profesional indep.;Ninguna de las anteriores;#737daa
43;Maule;Contenidos creativos;Empresa;Ninguna de las anteriores;#737daa
70;Maule;Experiencias creativas;Empresa;Registro de propiedad intelectual;#544c7c
70;Maule;Experiencias creativas;Empresa;Licenciamiento;#9a7cbb
70;Maule;Experiencias creativas;Empresa;Gestión de precios de contenidos creativos;#62cca5
6;Bío-Bío;Contenidos creativos;Empresa;Ninguna de las anteriores;#737daa
41;Bío-Bío;Experiencias creativas;Profesional indep.;Otros;#e4e2d4
61;Bío-Bío;Servicios creativos;Empresa;Registro de propiedad intelectual;#544c7c
61;Bío-Bío;Servicios creativos;Empresa;Licenciamiento;#9a7cbb
61;Bío-Bío;Servicios creativos;Empresa;Gestión de precios de contenidos creativos;#62cca5
108;Bío-Bío;Contenidos creativos;Profesional indep.;Ninguna de las anteriores;#737daa
111;Bío-Bío;Bienes creativos;Empresa;Registro de propiedad intelectual;#544c7c
115;Bío-Bío;Servicios creativos;Empresa;Otros;#e4e2d4
118;Bío-Bío;Bienes creativos;Empresa;Gestión de precios de contenidos creativos;#62cca5
137;Bío-Bío;Bienes creativos;Empresa;Registro de propiedad intelectual;#544c7c
137;Bío-Bío;Bienes creativos;Empresa;Licenciamiento;#9a7cbb
27;La Araucanía;Contenidos creativos;Profesional indep.;Ninguna de las anteriores;#737daa
37;La Araucanía;Experiencias creativas;Empresa;Gestión de precios de contenidos creativos;#62cca5
40;La Araucanía;Contenidos creativos;Profesional indep.;Ninguna de las anteriores;#737daa
44;La Araucanía;Contenidos creativos;Profesional indep.;Registro de propiedad intelectual;#544c7c
44;La Araucanía;Contenidos creativos;Profesional indep.;Gestión de precios de contenidos creativos;#62cca5
66;La Araucanía;Bienes creativos;Empresa;Registro de propiedad intelectual;#544c7c
81;La Araucanía;Bienes creativos;Profesional indep.;Ninguna de las anteriores;#737daa
116;La Araucanía;Servicios creativos;Profesional indep.;Registro de propiedad intelectual;#544c7c
121;La Araucanía;Experiencias creativas;Profesional indep.;Ninguna de las anteriores;#737daa
