region_resumida,cadena_productiva,agrupacion_tecnocreativa,genero,asociatividad,vinculos_educativos,tamano_empresa_num_trab,rango_ventas,exportaciones,internacionalizacion,mercados_intern
RM,Bienes creativos,Contenido para redes sociales,Hombre,No,No,1-5,Menos de 10.000 USD,No,"Sí, en uno",
RM,Contenidos creativos,Contenido para redes sociales,Hombre,No,Sí,1-5,Menos de 10.000 USD,No,No y no está en los planes actuales,
RM,Contenidos creativos,Contenido para redes sociales,Hombre,No,No,1-5,Menos de 10.000 USD,Sí,"No, pero está en las prioridades actuales",
RM,Contenidos creativos,Contenido para redes sociales,Hombre,Sí (especificar cuál),Sí,11-50,Más de 100.000 USD,Sí,"Sí, en uno",
RM,Servicios creativos,Contenido para redes sociales,Mujer,Sí (especificar cuál),No,1-5,Menos de 10.000 USD,No,"Sí, pero aún no se han concretado operaciones internacionales",
RM,Servicios creativos,Cultura y entretenimiento,Mujer,,,1-5,Entre 10.000 y 50.000 USD,No,"No, pero está en las prioridades actuales",
RM,Contenidos creativos,Cultura y entretenimiento,Hombre,,,,,,,
RM,Contenidos creativos,Cultura y entretenimiento,Hombre,,,1-5,,,,
RM,Contenidos creativos,Cultura y entretenimiento,Hombre,No,No,1-5,Entre 10.000 y 50.000 USD,Sí,"Sí, en más de uno","Colombia, Argentina, Perú y México"
RM,Contenidos creativos,Cultura y entretenimiento,Mujer,Sí (especificar cuál),Sí,6-10,Entre 50.000 y 100.000 USD,Sí,"Sí, en más de uno","USA, Brasil, México"
RM,Bienes creativos,Cultura y entretenimiento,Hombre,No,Sí,11-50,Más de 100.000 USD,Sí,"Sí, en más de uno",Canada y EEUU
RM,Contenidos creativos,Cultura y entretenimiento,Mujer,No,No,1-5,Menos de 10.000 USD,No,No y no está en los planes actuales,
RM,Bienes creativos,Cultura y entretenimiento,Hombre,No,Sí,1-5,Entre 10.000 y 50.000 USD,Sí,"No, pero está en las prioridades actuales","Ventana Sur, Mitcom , Mitcom Jr."
RM,Experiencias creativas,Cultura y entretenimiento,Hombre,No,Sí,11-50,Entre 10.000 y 50.000 USD,No,No y no está en los planes actuales,
RM,Experiencias creativas,Cultura y entretenimiento,Hombre,No,No,6-10,Entre 10.000 y 50.000 USD,Sí,"Sí, en uno","Colombia, España"
RM,Contenidos creativos,Cultura y entretenimiento,Hombre,No,Sí,1-5,Menos de 10.000 USD,No,No y no está en los planes actuales,
RM,Contenidos creativos,Cultura y entretenimiento,Hombre,No,No,1-5,Menos de 10.000 USD,No,"No, pero está en las prioridades actuales",
RM,Servicios creativos,Editorial (medios digitales),Hombre,No,No,1-5,Menos de 10.000 USD,Sí,No y no está en los planes actuales,
RM,Bienes creativos,Editorial (medios digitales),Hombre,No,No,1-5,Menos de 10.000 USD,No,"No, pero está en las prioridades actuales",
RM,Contenidos creativos,Fintech,Hombre,Sí (especificar cuál),Sí,6-10,Más de 100.000 USD,Sí,"Sí, en más de uno","Mexico, Colombia, Peru"
RM,Contenidos creativos,Juegos interactivos,Hombre,,,1-5,,,,
RM,Contenidos creativos,Juegos interactivos,Mujer,No,No,1-5,Menos de 10.000 USD,No,"No, pero está en las prioridades actuales",
RM,Contenidos creativos,Juegos interactivos,Hombre,No,Sí,1-5,Más de 100.000 USD,Sí,"Sí, en más de uno","Mexico, Colombia"
RM,Contenidos creativos,Juegos interactivos,Hombre,Sí (especificar cuál),No,6-10,Menos de 10.000 USD,No,No y no está en los planes actuales,
RM,Experiencias creativas,Juegos interactivos,Hombre,No,Sí,1-5,Menos de 10.000 USD,No,No y no está en los planes actuales,
RM,Bienes creativos,Ninguna de las anteriores,Mujer,,,,,,,
RM,Servicios creativos,Ninguna de las anteriores,Hombre,Sí (especificar cuál),Sí,Más de 50,Más de 100.000 USD,No,No y no está en los planes actuales,
RM,Contenidos creativos,Ninguna de las anteriores,Hombre,No,No,1-5,Menos de 10.000 USD,No,No y no está en los planes actuales,
RM,Bienes creativos,Ninguna de las anteriores,Hombre,No,Sí,1-5,Menos de 10.000 USD,Sí,No y no está en los planes actuales,
RM,Bienes creativos,Nuevos medios,Mujer,,,1-5,Menos de 10.000 USD,No,"No, pero está en las prioridades actuales",
RM,Servicios creativos,Nuevos medios,Hombre,Sí (especificar cuál),Sí,1-5,Menos de 10.000 USD,Sí,"Sí, en uno",Nueva York
RM,Experiencias creativas,Nuevos medios,Mujer,No,Sí,0,Menos de 10.000 USD,No,No y no está en los planes actuales,
RM,Contenidos creativos,Nuevos medios,Hombre,No,Sí,1-5,Entre 10.000 y 50.000 USD,No,"No, pero está en las prioridades actuales",
RM,Experiencias creativas,Nuevos medios,Hombre,No,No,1-5,Más de 100.000 USD,Sí,"No, pero está en las prioridades actuales",
RM,Experiencias creativas,Nuevos medios,Hombre,Sí (especificar cuál),No,1-5,Menos de 10.000 USD,Sí,"No, pero está en las prioridades actuales",
RM,Experiencias creativas,Nuevos medios,Hombre,No,No,1-5,Menos de 10.000 USD,Sí,"Sí, en uno",USA
RM,Servicios creativos,Nuevos medios,Hombre,No,Sí,1-5,Menos de 10.000 USD,No,No y no está en los planes actuales,
RM,Experiencias creativas,Nuevos medios,Hombre,No,No,11-50,Más de 100.000 USD,Sí,"Sí, en más de uno",Latinoamérica y Europa
RM,Experiencias creativas,Nuevos medios,Mujer,Sí (especificar cuál),Sí,1-5,Entre 10.000 y 50.000 USD,Sí,"Sí, en uno","Mexico, Canadá"
RM,Bienes creativos,Nuevos medios,Mujer,No,Sí,1-5,Entre 50.000 y 100.000 USD,No,"No, pero está en las prioridades actuales",
RM,Experiencias creativas,Nuevos medios,Hombre,No,No,1-5,Entre 50.000 y 100.000 USD,Sí,"No, pero está en las prioridades actuales",
RM,Servicios creativos,Nuevos medios,Hombre,Sí (especificar cuál),Sí,1-5,Más de 100.000 USD,Sí,"Sí, en más de uno","bolivia, perú, colombia, ecuador, costa rica"
RM,Experiencias creativas,Nuevos medios,Mujer,Sí (especificar cuál),Sí,1-5,Menos de 10.000 USD,Sí,"Sí, en más de uno","Participamos de los más importantes mercados para el XR narrativo: Venice Production Bridge, VR Days, New Images XR Market, Electric South, Cinemart XR, VR Days Brasil, VR Fest Mexico, etc."
RM,Bienes creativos,Robótica,Mujer,,,,,,,
RM,Experiencias creativas,Robótica,Hombre,No,No,6-10,Menos de 10.000 USD,No,"No, pero está en las prioridades actuales",
RM,Bienes creativos,Robótica,Hombre,No,Sí,1-5,Menos de 10.000 USD,Sí,"No, pero está en las prioridades actuales",
RM,Servicios creativos,Servicios creativos,Hombre,No,No,1-5,Más de 100.000 USD,No,No y no está en los planes actuales,
RM,Servicios creativos,Servicios creativos,Hombre,No,Sí,6-10,Entre 50.000 y 100.000 USD,No,"Sí, en uno",Colombia
RM,Experiencias creativas,Servicios creativos,Mujer,No,Sí,1-5,Menos de 10.000 USD,Sí,"Sí, en más de uno",Latam
RM,Servicios creativos,Servicios creativos,Mujer,Sí (especificar cuál),Sí,1-5,Entre 50.000 y 100.000 USD,No,"Sí, en uno",perú
RM,Servicios creativos,Servicios creativos,Mujer,Sí (especificar cuál),Sí,11-50,Entre 10.000 y 50.000 USD,Sí,"Sí, en más de uno","España, Republica Checa, Estados Unidos y Mexico"
RM,Contenidos creativos,Servicios creativos,Hombre,No,Sí,1-5,Entre 10.000 y 50.000 USD,No,No y no está en los planes actuales,
RM,Experiencias creativas,Servicios creativos,Hombre,Sí (especificar cuál),No,1-5,Menos de 10.000 USD,Sí,"No, pero está en las prioridades actuales",
RM,Servicios creativos,Servicios creativos,Hombre,No,No,1-5,Entre 10.000 y 50.000 USD,Sí,"No, pero está en las prioridades actuales",
RM,Experiencias creativas,Servicios creativos,Mujer,No,Sí,11-50,Menos de 10.000 USD,No,"Sí, en más de uno","India, Suiza, Jordania, Colombia, Europa"
RM,Contenidos creativos,Servicios creativos,Hombre,No,Sí,11-50,Más de 100.000 USD,No,No y no está en los planes actuales,
RM,Contenidos creativos,Servicios creativos,Hombre,No,Sí,1-5,Menos de 10.000 USD,No,No y no está en los planes actuales,
RM,Bienes creativos,Servicios creativos,Mujer,No,No,1-5,Menos de 10.000 USD,No,"No, pero está en las prioridades actuales",
RM,Servicios creativos,Servicios creativos,Hombre,Sí (especificar cuál),Sí,6-10,Más de 100.000 USD,No,"No, pero está en las prioridades actuales",
RM,Contenidos creativos,Servicios creativos,Hombre,No,Sí,1-5,Menos de 10.000 USD,Sí,"No, pero está en las prioridades actuales",
RM,Contenidos creativos,Wearables,Hombre,No,Sí,11-50,Entre 50.000 y 100.000 USD,Sí,No y no está en los planes actuales,"Alemania, Estados Unidos, Serbia y Nueva Zelandia"
RM,,,Mujer,,,,,,,
RM,,,Hombre,,,,,,,
RM,,,Hombre,,,,,,,
RM,,,Hombre,,,,,,,
RM,,,Mujer,,,,,,,
RM,,,Hombre,,,,,,,
RM,,,Mujer,,,,,,,
RM,,,Hombre,,,,,,,
O'Higgins,Bienes creativos,Juegos interactivos,Mujer,Sí (especificar cuál),Sí,1-5,Menos de 10.000 USD,Sí,No y no está en los planes actuales,
O'Higgins,Servicios creativos,Ninguna de las anteriores,Mujer,,,1-5,,,,
O'Higgins,,,Hombre,,,,,,,
Maule,Contenidos creativos,Cultura y entretenimiento,Hombre,No,No,1-5,Menos de 10.000 USD,Sí,"Sí, en más de uno","Ventana Sur, Pixlatl, Quirino"
Maule,Experiencias creativas,Música,Hombre,No,Sí,6-10,Menos de 10.000 USD,Sí,"No, pero está en las prioridades actuales",
Biobío,Bienes creativos,Computación o programación creativa,Mujer,,,,,,,
Biobío,Contenidos creativos,Computación o programación creativa,Hombre,No,Sí,1-5,Entre 10.000 y 50.000 USD,No,"No, pero está en las prioridades actuales",
Biobío,Experiencias creativas,Cultura y entretenimiento,Otro (especifique) - prefiero no responder,Sí (especificar cuál),No,1-5,Menos de 10.000 USD,Sí,"No, pero está en las prioridades actuales",
Biobío,Servicios creativos,Juegos interactivos,Hombre,No,Sí,6-10,Entre 50.000 y 100.000 USD,Sí,"Sí, en uno",USA
Biobío,Contenidos creativos,Servicios creativos,Hombre,,,0,,,,
Biobío,Bienes creativos,Servicios creativos,Hombre,No,No,1-5,Entre 10.000 y 50.000 USD,No,"No, pero está en las prioridades actuales",
Biobío,Servicios creativos,Servicios creativos,Mujer,No,No,1-5,Entre 10.000 y 50.000 USD,No,No y no está en los planes actuales,
Biobío,Bienes creativos,Servicios creativos,Hombre,No,No,1-5,Entre 50.000 y 100.000 USD,No,No y no está en los planes actuales,
Biobío,Bienes creativos,Servicios creativos,Mujer,No,Sí,11-50,Más de 100.000 USD,Sí,"Sí, en más de uno",
Araucanía,Contenidos creativos,Contenido para redes sociales,Hombre,No,No,1-5,Menos de 10.000 USD,No,No y no está en los planes actuales,
Araucanía,Experiencias creativas,Cultura y entretenimiento,Hombre,Sí (especificar cuál),Sí,6-10,Entre 10.000 y 50.000 USD,No,"Sí, pero aún no se han concretado operaciones internacionales",
Araucanía,Contenidos creativos,Cultura y entretenimiento,Hombre,No,Sí,1-5,Menos de 10.000 USD,Sí,"No, pero está en las prioridades actuales",
Araucanía,Contenidos creativos,Cultura y entretenimiento,Mujer,No,No,0,Menos de 10.000 USD,No,"No, pero está en las prioridades actuales",
Araucanía,Bienes creativos,Juegos interactivos,Mujer,No,Sí,6-10,Menos de 10.000 USD,No,No y no está en los planes actuales,
Araucanía,Bienes creativos,Ninguna de las anteriores,Hombre,No,No,1-5,Menos de 10.000 USD,Sí,"No, pero está en las prioridades actuales",
Araucanía,Servicios creativos,Servicios creativos,Mujer,Sí (especificar cuál),Sí,0,Menos de 10.000 USD,No,"Sí, pero aún no se han concretado operaciones internacionales",
Araucanía,Experiencias creativas,Servicios creativos,Mujer,Sí (especificar cuál),Sí,1-5,Menos de 10.000 USD,No,No y no está en los planes actuales,
Araucanía,,,Hombre,,,,,,,
Los Ríos,Experiencias creativas,Cultura y entretenimiento,Hombre,Sí (especificar cuál),No,1-5,Entre 50.000 y 100.000 USD,No,"No, pero está en las prioridades actuales",
Los Ríos,Bienes creativos,Ninguna de las anteriores,Mujer,No,No,1-5,Menos de 10.000 USD,No,No y no está en los planes actuales,
Los Ríos,Bienes creativos,Ninguna de las anteriores,Mujer,Sí (especificar cuál),No,1-5,Menos de 10.000 USD,No,No y no está en los planes actuales,
Los Ríos,,,Hombre,,,,,,,
Los Lagos,Experiencias creativas,Servicios creativos,Hombre,Sí (especificar cuál),No,1-5,Entre 10.000 y 50.000 USD,No,"No, pero está en las prioridades actuales",
Aysén,Bienes creativos,Computación o programación creativa,Hombre,No,No,1-5,Menos de 10.000 USD,No,No y no está en los planes actuales,
Aysén,Bienes creativos,Cultura y entretenimiento,Hombre,Sí (especificar cuál),No,1-5,Entre 10.000 y 50.000 USD,Sí,"No, pero está en las prioridades actuales",
Aysén,Servicios creativos,Nuevos medios,Hombre,Sí (especificar cuál),Sí,1-5,Menos de 10.000 USD,No,"No, pero está en las prioridades actuales","En ninguno, aún."
Aysén,Bienes creativos,Servicios creativos,Mujer,No,No,1-5,Menos de 10.000 USD,No,"No, pero está en las prioridades actuales",
Magallanes,Contenidos creativos,Computación o programación creativa,Hombre,Sí (especificar cuál),No,1-5,Menos de 10.000 USD,No,No y no está en los planes actuales,
Magallanes,Servicios creativos,Fintech,Hombre,No,No,1-5,Entre 10.000 y 50.000 USD,No,"Sí, pero aún no se han concretado operaciones internacionales",
Magallanes,Bienes creativos,Ninguna de las anteriores,Mujer,No,Sí,1-5,Menos de 10.000 USD,No,"No, pero está en las prioridades actuales",
Magallanes,Bienes creativos,Nuevos medios,Hombre,Sí (especificar cuál),Sí,1-5,Entre 10.000 y 50.000 USD,Sí,"Sí, en uno",Alemania
Extranjero,Servicios creativos,Computación o programación creativa,Hombre,No,No,1-5,Menos de 10.000 USD,No,"No, pero está en las prioridades actuales",
Extranjero,Experiencias creativas,Cultura y entretenimiento,Hombre,No,No,1-5,Entre 50.000 y 100.000 USD,Sí,"Sí, pero aún no se han concretado operaciones internacionales",Europa del Este
Extranjero,Contenidos creativos,Editorial (medios digitales),Hombre,Sí (especificar cuál),Sí,1-5,Entre 10.000 y 50.000 USD,Sí,"Sí, en más de uno",10+ en 2024
Extranjero,,,Hombre,,,,,,,
Extranjero,,,Mujer,,,,,,,
